Región,Distrito,Municipio Escolar,Código de la Escuela,Nombre Escuela,Matrícula M1,Matrícula M1 entre 5 y 17 años de edad,M1 entre 5 y 17 años de edad Bajo Nivel Pobreza,Porcentaje de Estudiantes Bajo el Nivel de Pobreza (BNP)
BAYAMON,COROZAL,COROZAL,71035,S. U. JULIAN MARRERO,462,452,384,84.96%
BAYAMON,COROZAL,COROZAL,71043,DR. JOSE PADIN,393,383,311,81.2%
BAYAMON,COROZAL,COROZAL,71050,S. U. NICOLAS RODRIGUEZ,556,556,414,74.46%
BAYAMON,COROZAL,COROZAL,71068,S. U. DEMETRIO RIVERA,302,294,244,82.99%
BAYAMON,COROZAL,COROZAL,74179,PORFIRIO CRUZ GARCIA,215,208,180,86.54%
BAYAMON,COROZAL,NARANJITO,71217,MERCEDES ROSADO,506,500,372,74.4%
BAYAMON,COROZAL,NARANJITO,71225,FRANCISCO MORALES,574,562,435,77.4%
BAYAMON,COROZAL,NARANJITO,71282,DON MANOLO RIVERA,185,174,129,74.14%
BAYAMON,COROZAL,NARANJITO,71290,BERNARDA ROBLES DE HEVIA,194,180,149,82.78%
BAYAMON,COROZAL,NARANJITO,71308,ROSA L. ZAYAS (CEDRO ARRIBA),200,191,139,72.77%
BAYAMON,COROZAL,NARANJITO,71316,JOSEFINA MARRERO FEBUS (LOMAS VALLES),173,172,134,77.91%
BAYAMON,COROZAL,NARANJITO,71324,FELIPA SANCHEZ CRUZADO,193,181,145,80.11%
BAYAMON,COROZAL,NARANJITO,71332,S. U. FIDEL G. PADILLA,168,154,135,87.66%
BAYAMON,COROZAL,NARANJITO,71340,S. U. ADOLFO GARCIA,364,351,242,68.95%
BAYAMON,COROZAL,NARANJITO,71357,S. U. PEDRO FERNANDEZ,425,416,285,68.51%
BAYAMON,COROZAL,NARANJITO,74237,COLLEN VAZQUEZ URRUTIA,384,384,302,78.65%
BAYAMON,COROZAL,NARANJITO,75234,SILVESTRE MARTINEZ,311,301,235,78.07%
BAYAMON,COROZAL,NARANJITO,76356,FRANCISCO ROQUE MUÑOZ,227,218,186,85.32%
BAYAMON,COROZAL,NARANJITO,78857,RUBEN RODRÍGUEZ FIGUEROA,762,753,487,64.67%
BAYAMON,COROZAL,NARANJITO,78956,FRANCISCO LOPEZ CRUZ,462,455,334,73.41%
BAYAMON,OROCOVIS,MOROVIS,12245,FRANCISCO RIVERA CLAUDIO,352,351,297,84.62%
BAYAMON,OROCOVIS,MOROVIS,12260,ESPERANZA GONZALEZ,225,216,166,76.85%
BAYAMON,OROCOVIS,MOROVIS,12278,JUANA M. (GOYITA) AVILES,377,365,231,63.29%
BAYAMON,OROCOVIS,MOROVIS,12336,RAMON TORRES RIVERA,262,254,228,89.76%
BAYAMON,OROCOVIS,MOROVIS,12351,DR. PEDRO N. ORTIZ,149,146,118,80.82%
BAYAMON,OROCOVIS,MOROVIS,12369,JORGE L. MARRERO PADILLA,339,323,244,75.54%
BAYAMON,OROCOVIS,MOROVIS,12377,JAIME A. COLLAZO DEL RIO,638,628,475,75.64%
BAYAMON,OROCOVIS,MOROVIS,12385,MANUEL ALONSO DIAZ,260,249,215,86.35%
BAYAMON,OROCOVIS,MOROVIS,12393,PERCHAS DIAZ,124,118,78,66.1%
BAYAMON,OROCOVIS,MOROVIS,12401,S. U. JOSE R. BARRERAS,423,402,327,81.34%
BAYAMON,OROCOVIS,MOROVIS,12419,S. U. DAVID COLON VEGA,345,334,183,54.79%
BAYAMON,OROCOVIS,MOROVIS,12435,BARAHONA ELEMENTAL,383,351,262,74.64%
BAYAMON,OROCOVIS,MOROVIS,14555,CARLOS M.ALVERIO PIMENTEL,153,137,83,60.58%
BAYAMON,OROCOVIS,MOROVIS,17186,ANGEL G QUINTERO ALFARO,566,566,390,68.9%
BAYAMON,OROCOVIS,MOROVIS,18242,JOSEFA DEL RIO GUERRERO,651,632,435,68.83%
BAYAMON,OROCOVIS,OROCOVIS,12518,S. U. BONIFACIO ALVARADO,212,205,149,72.68%
BAYAMON,OROCOVIS,OROCOVIS,12534,ANGEL GABRIEL RIVERA,74,73,67,91.78%
BAYAMON,OROCOVIS,OROCOVIS,12567,DAMIAN ABAJO,96,92,75,81.52%
BAYAMON,OROCOVIS,OROCOVIS,12575,ROMAN DIAZ AVILES,109,102,88,86.27%
BAYAMON,OROCOVIS,OROCOVIS,12617,INTERMEDIA URBANA,196,196,158,80.61%
BAYAMON,OROCOVIS,OROCOVIS,12625,GATO 1,145,145,103,71.03%
BAYAMON,OROCOVIS,OROCOVIS,12633,VISITACION PAGAN,203,194,125,64.43%
BAYAMON,OROCOVIS,OROCOVIS,12666,S. U. MATRULLAS,180,175,138,78.86%
BAYAMON,OROCOVIS,OROCOVIS,12708,S. U. ANA DALILA BURGOS ORTIZ,211,204,167,81.86%
BAYAMON,OROCOVIS,OROCOVIS,12716,S. U. BOTIJAS #1,250,242,186,76.86%
BAYAMON,OROCOVIS,OROCOVIS,12724,S. U. ANA JOAQUINA ORTIZ( BOTIJAS #2),257,245,179,73.06%
BAYAMON,OROCOVIS,OROCOVIS,12740,S. U. SALTOS CABRAS,234,218,186,85.32%
BAYAMON,OROCOVIS,OROCOVIS,12765,S. U. SANAMUERTOS,315,310,258,83.23%
BAYAMON,OROCOVIS,OROCOVIS,14340,SUPERIOR ALBERTO MELENDEZ TORRES,423,411,292,71.05%
BAYAMON,OROCOVIS,OROCOVIS,14357,JOSE ROJAS CORTES,508,499,389,77.96%
BAYAMON,OROCOVIS,OROCOVIS,17871,NELIDA MELENDEZ MELENDEZ (ELEM. URBANA),432,405,293,72.35%
BAYAMON,TOA BAJA,CATAÑO,70714,PUENTE BLANCO,124,114,108,94.74%
BAYAMON,TOA BAJA,CATAÑO,70722,HORACE MANN,165,147,108,73.47%
BAYAMON,TOA BAJA,CATAÑO,70755,ISAAC DEL ROSARIO,481,464,326,70.26%
BAYAMON,TOA BAJA,CATAÑO,70763,RAFAEL CORDERO,507,495,416,84.04%
BAYAMON,TOA BAJA,CATAÑO,70771,JOSE A. NIEVES,173,166,156,93.98%
BAYAMON,TOA BAJA,CATAÑO,70797,ROSENDO MATIENZO CINTRON,390,371,322,86.79%
BAYAMON,TOA BAJA,CATAÑO,70805,ONOFRE CARBALLEIRA,425,425,392,92.24%
BAYAMON,TOA BAJA,CATAÑO,70813,FRANCISCO OLLER,502,486,396,81.48%
BAYAMON,TOA BAJA,CATAÑO,70821,TEODORO ROOSEVELT,170,162,136,83.95%
BAYAMON,TOA BAJA,CATAÑO,70839,RAMON B. LOPEZ,157,106,97,91.51%
BAYAMON,TOA BAJA,CATAÑO,73668,MERCEDES GARCIA DE COLORADO,388,388,339,87.37%
BAYAMON,TOA BAJA,TOA ALTA,71365,VIOLANTA JIMENEZ,341,326,269,82.52%
BAYAMON,TOA BAJA,TOA ALTA,71373,JOSE PABLO MORALES,413,404,353,87.38%
BAYAMON,TOA BAJA,TOA ALTA,71381,NICOLAS SEVILLA,525,515,411,79.81%
BAYAMON,TOA BAJA,TOA ALTA,71399,JOSE MARIA DEL VALLE,336,320,270,84.38%
BAYAMON,TOA BAJA,TOA ALTA,71407,JOSE DE DIEGO,261,250,185,74%
BAYAMON,TOA BAJA,TOA ALTA,71415,LUIS MUÑOZ RIVERA,152,148,132,89.19%
BAYAMON,TOA BAJA,TOA ALTA,71423,SECUNDINO DIAZ,176,171,135,78.95%
BAYAMON,TOA BAJA,TOA ALTA,71431,VIRGILIO MORALES,110,109,98,89.91%
BAYAMON,TOA BAJA,TOA ALTA,71449,ALEJANDRO CRUZ (GALATEO PARCELAS),150,145,124,85.52%
BAYAMON,TOA BAJA,TOA ALTA,71456,MERCED MARCANO,161,156,121,77.56%
BAYAMON,TOA BAJA,TOA ALTA,71464,HERACLIO H. RIVERA COLON,235,229,214,93.45%
BAYAMON,TOA BAJA,TOA ALTA,71472,MANUEL VELILLA,294,286,248,86.71%
BAYAMON,TOA BAJA,TOA ALTA,71480,FELIPE DIAZ GONZALEZ,315,315,184,58.41%
BAYAMON,TOA BAJA,TOA ALTA,73890,MARIA C. OSORIO,678,650,470,72.31%
BAYAMON,TOA BAJA,TOA ALTA,74864,ABELARDO DIAZ ALFARO (INT. PIÑAS),472,471,368,78.13%
BAYAMON,TOA BAJA,TOA ALTA,77651,TOMAS MASSO RIVERA MORALES,605,605,439,72.56%
BAYAMON,TOA BAJA,TOA ALTA,78931,ADELA ROLON FUENTES,875,838,581,69.33%
BAYAMON,TOA BAJA,TOA BAJA,71498,LUIS M. SANTIAGO,253,242,213,88.02%
BAYAMON,TOA BAJA,TOA BAJA,71506,JOSE NEVAREZ LANDRON,622,613,539,87.93%
BAYAMON,TOA BAJA,TOA BAJA,71514,ADOLFINA IRIZARRY DE PUIG,477,467,391,83.73%
BAYAMON,TOA BAJA,TOA BAJA,71522,JOSE ROBLES OTERO,325,312,284,91.03%
BAYAMON,TOA BAJA,TOA BAJA,71530,ALTINENCIA VALLE,565,563,500,88.81%
BAYAMON,TOA BAJA,TOA BAJA,71548,JOSE NEVAREZ LOPEZ,230,225,193,85.78%
BAYAMON,TOA BAJA,TOA BAJA,71563,ERNESTO JUAN FONFRIAS RIVERA,169,163,97,59.51%
BAYAMON,TOA BAJA,TOA BAJA,71571,ERNESTINA BRACERO,397,386,347,89.9%
BAYAMON,TOA BAJA,TOA BAJA,71589,ELEMENTAL ANTONIA SAEZ IRIZARRY,309,286,240,83.92%
BAYAMON,TOA BAJA,TOA BAJA,71597,JOHN F. KENNEDY,352,344,262,76.16%
BAYAMON,TOA BAJA,TOA BAJA,71605,MARIA LIBERTAD GOMEZ,383,376,287,76.33%
BAYAMON,TOA BAJA,TOA BAJA,71613,LORENCITA RAMIREZ DE ARRELLANO,233,225,172,76.44%
BAYAMON,TOA BAJA,TOA BAJA,71621,AMALIA LOPEZ DE VILA,289,269,232,86.25%
BAYAMON,TOA BAJA,TOA BAJA,71639,DELIA DAVILA DE CABAN,304,298,209,70.13%
BAYAMON,TOA BAJA,TOA BAJA,71647,DR. EFRAIN SANCHEZ HIDALGO,428,418,296,70.81%
BAYAMON,TOA BAJA,TOA BAJA,71654,INTERMEDIA BASILIO MILAN HERNANDEZ,508,506,361,71.34%
BAYAMON,TOA BAJA,TOA BAJA,71662,CARMEN BARROSO MORALES,279,271,228,84.13%
BAYAMON,TOA BAJA,TOA BAJA,71670,PEDRO ALBIZU CAMPOS,735,723,428,59.2%
BAYAMON,TOA BAJA,TOA BAJA,71704,FRANCISCA DAVILA SEMPRIT ELEMENTAL,204,197,173,87.82%
BAYAMON,TOA BAJA,TOA BAJA,74039,MARIA TERESA PIÑEIRO,239,235,196,83.4%
BAYAMON,TOA BAJA,TOA BAJA,74476,MARIA J. CORREDOR RIVERA,319,313,230,73.48%
BAYAMON,TOA BAJA,TOA BAJA,77453,FRANCISCA DAVILA SEMPRIT INTERMEDIA,379,370,327,88.38%
BAYAMON,TOA BAJA,TOA BAJA,78832,MARTIN GARCIA GIUSTI,460,460,349,75.87%
CAGUAS,BARRANQUITAS,AIBONITO,20214,S. U. PASTO,300,256,209,81.64%
CAGUAS,BARRANQUITAS,AIBONITO,20255,RAFAEL PONT FLORES,389,381,296,77.69%
CAGUAS,BARRANQUITAS,AIBONITO,20263,FEDERICO DEGETAU I,376,353,270,76.49%
CAGUAS,BARRANQUITAS,AIBONITO,20289,LLANOS ADENTRO (ESPECIALIZADA BILINGUE),173,172,72,41.86%
CAGUAS,BARRANQUITAS,AIBONITO,20297,LLANOS CARRETERA (INTERMEDIA IDIOMAS),109,109,29,26.61%
CAGUAS,BARRANQUITAS,AIBONITO,20305,ELEMENTAL RABANAL,371,358,246,68.72%
CAGUAS,BARRANQUITAS,AIBONITO,20321,S. U. JOSE CELSO BARBOSA,642,615,425,69.11%
CAGUAS,BARRANQUITAS,AIBONITO,20339,S. U. CARMEN ZENAIDA VEGA (LA PLATA) ,270,260,197,75.77%
CAGUAS,BARRANQUITAS,AIBONITO,20354,SUCESION TORRES,180,179,155,86.59%
CAGUAS,BARRANQUITAS,AIBONITO,20362,DR. JOSE N. GANDARA,531,518,335,64.67%
CAGUAS,BARRANQUITAS,AIBONITO,22830,ROSARIO BELBER,24,17,14,82.35%
CAGUAS,BARRANQUITAS,AIBONITO,27565,BONIFACIO SANCHEZ (GANDARA),337,330,181,54.85%
CAGUAS,BARRANQUITAS,AIBONITO,28076,DRA.CARMEN DELIA COLON MARTINEZ,268,246,181,73.58%
CAGUAS,BARRANQUITAS,BARRANQUITAS,20388,CAÑABON ABAJO,124,117,103,88.03%
CAGUAS,BARRANQUITAS,BARRANQUITAS,20396,JOSE COLON GONZALEZ,458,427,297,69.56%
CAGUAS,BARRANQUITAS,BARRANQUITAS,20404,PETROAMERICA PAGAN,321,273,221,80.95%
CAGUAS,BARRANQUITAS,BARRANQUITAS,20412,EL FARALLON,184,181,147,81.22%
CAGUAS,BARRANQUITAS,BARRANQUITAS,20420,JOSE BERRIOS BERDECIA (INT. URBANA),246,239,173,72.38%
CAGUAS,BARRANQUITAS,BARRANQUITAS,20453,PABLO FUENTES RIVERA,161,159,129,81.13%
CAGUAS,BARRANQUITAS,BARRANQUITAS,20461,STEPHEN S. HUSSE (LA VEGA),218,211,166,78.67%
CAGUAS,BARRANQUITAS,BARRANQUITAS,20479,INOCENCIO CINTRON ZAYAS,135,124,93,75%
CAGUAS,BARRANQUITAS,BARRANQUITAS,20511,SINFOROSO APONTE,199,192,161,83.85%
CAGUAS,BARRANQUITAS,BARRANQUITAS,20529,S. U. HELECHAL,287,278,225,80.94%
CAGUAS,BARRANQUITAS,BARRANQUITAS,20537,S. U. ANTONIO VAZQUEZ (S.U. LA LOMA),206,196,177,90.31%
CAGUAS,BARRANQUITAS,BARRANQUITAS,20545,S. U. RAMON T. RIVERA (S.U. LAJITA),267,258,221,85.66%
CAGUAS,BARRANQUITAS,BARRANQUITAS,20552,FEDERICO DEGETAU (S.U. PALO HINCADO),621,611,457,74.8%
CAGUAS,BARRANQUITAS,BARRANQUITAS,20560,PABLO COLON BERDECIA  SUP. VOC.,697,679,544,80.12%
CAGUAS,BARRANQUITAS,BARRANQUITAS,26021,LUIS MUÑOZ MARIN,632,616,442,71.75%
CAGUAS,BARRANQUITAS,BARRANQUITAS,28456,INTERMEDIA BO. QUEBRADILLAS,253,253,181,71.54%
CAGUAS,BARRANQUITAS,COMERIO,21725,JUAN ZAMORA,220,211,165,78.2%
CAGUAS,BARRANQUITAS,COMERIO,21733,HERMINIO SIERRA,92,84,72,85.71%
CAGUAS,BARRANQUITAS,COMERIO,21758,JUANA COLON,476,460,383,83.26%
CAGUAS,BARRANQUITAS,COMERIO,21782,MARIA C. HUERTAS(LA PRIETA),98,95,74,77.89%
CAGUAS,BARRANQUITAS,COMERIO,21790,PABLO R ORTIZ ROLON,126,116,69,59.48%
CAGUAS,BARRANQUITAS,COMERIO,21832,MANUEL CRUZ MACEIRA (ESPECIALIZADA BILINGUE),149,144,88,61.11%
CAGUAS,BARRANQUITAS,COMERIO,21840,PIÑAS ARRIBA,130,119,92,77.31%
CAGUAS,BARRANQUITAS,COMERIO,21865,S. U. RAMON ALEJANDRO AYALA,392,381,306,80.31%
CAGUAS,BARRANQUITAS,COMERIO,21873,S. U. OSCAR PORRATA DORIA,205,202,162,80.2%
CAGUAS,BARRANQUITAS,COMERIO,21881,S. U. MARIA C. SANTIAGO,214,208,171,82.21%
CAGUAS,BARRANQUITAS,COMERIO,23655,INES M. MENDOZA DE MUÑOZ MARIN,294,281,248,88.26%
CAGUAS,BARRANQUITAS,COMERIO,26005,LUIS MUÑOZ MARIN,291,291,231,79.38%
CAGUAS,BARRANQUITAS,COMERIO,26815,CENTRO IMPEDIMENTOS SEVEROS,9,7,7,100%
CAGUAS,BARRANQUITAS,COMERIO,28100,CLAUDIO FERRER COTTO,272,235,221,94.04%
CAGUAS,BARRANQUITAS,COMERIO,28530,SUPERIOR VOCACIONAL NUEVA,211,209,162,77.51%
CAGUAS,CIDRA,---,22772,ESPECIALIZADA BELLAS ARTES,40,40,21,52.5%
CAGUAS,CIDRA,AGUAS BUENAS,20032,EZEQUIEL RAMOS LASANTA,157,146,122,83.56%
CAGUAS,CIDRA,AGUAS BUENAS,20040,JOSE R. GONZALEZ,118,116,94,81.03%
CAGUAS,CIDRA,AGUAS BUENAS,20065,ALGONSO LOPEZ O'NEILL,129,123,97,78.86%
CAGUAS,CIDRA,AGUAS BUENAS,20073,LUIS SANTAELLA,169,160,129,80.63%
CAGUAS,CIDRA,AGUAS BUENAS,20081,RAMON L. RIVERA (JUAN ASENCIO),125,120,79,65.83%
CAGUAS,CIDRA,AGUAS BUENAS,20107,LUIS T BALINAS,310,306,236,77.12%
CAGUAS,CIDRA,AGUAS BUENAS,20115,MULITAS ALVELO,115,110,71,64.55%
CAGUAS,CIDRA,AGUAS BUENAS,20172,S. U.  BAYAMONCITO,361,356,251,70.51%
CAGUAS,CIDRA,AGUAS BUENAS,20180,S. U. SUMIDERO (CARMEN D.ORTIZ ORTIZ),569,566,469,82.86%
CAGUAS,CIDRA,AGUAS BUENAS,23564,DR. GUSTAVO MUÑOZ DIAZ,240,208,176,84.62%
CAGUAS,CIDRA,AGUAS BUENAS,23580,SANTA CLARA,167,164,126,76.83%
CAGUAS,CIDRA,AGUAS BUENAS,25783,LUIS MUÑOZ MARIN,232,232,187,80.6%
CAGUAS,CIDRA,AGUAS BUENAS,27540,DR. PEDRO ALBIZU CAMPOS,381,374,278,74.33%
CAGUAS,CIDRA,AGUAS BUENAS,28571,SUPERIOR URBANA DE AGUAS BUENAS,890,848,584,68.87%
CAGUAS,CIDRA,CAYEY,21089,BENIGNO FERNANDEZ GARCIA,561,560,413,73.75%
CAGUAS,CIDRA,CAYEY,21097,BENIGNO CARRION,361,349,264,75.64%
CAGUAS,CIDRA,CAYEY,21105,BENJAMIN HARRISON,754,742,521,70.22%
CAGUAS,CIDRA,CAYEY,21113,FELIX LUCAS BENET,156,145,126,86.9%
CAGUAS,CIDRA,CAYEY,21188,EMERITA LEON ELEMENTAL,180,174,148,85.06%
CAGUAS,CIDRA,CAYEY,21196,INTERMEDIA EMERITA LEON,126,126,97,76.98%
CAGUAS,CIDRA,CAYEY,21212,S. U. GERARDO SELLES SOLA,286,281,214,76.16%
CAGUAS,CIDRA,CAYEY,21279,LUIS MUÑOZ RIVERA,338,320,270,84.38%
CAGUAS,CIDRA,CAYEY,21287,JULIO VIZCARRONDO,106,98,82,83.67%
CAGUAS,CIDRA,CAYEY,21303,JOSE G. PADILLA,125,116,91,78.45%
CAGUAS,CIDRA,CAYEY,21337,AGUSTIN FERNANDEZ COLON,223,215,183,85.12%
CAGUAS,CIDRA,CAYEY,21345,S. U. REXFORD GUY TUGWELL,129,126,112,88.89%
CAGUAS,CIDRA,CAYEY,21352,S. U. EUGENIO MARIA DE HOSTOS,215,209,154,73.68%
CAGUAS,CIDRA,CAYEY,21360,RAMON FRADE,261,253,153,60.47%
CAGUAS,CIDRA,CAYEY,21386,CONSUELO LOPEZ BENET,141,132,111,84.09%
CAGUAS,CIDRA,CAYEY,21394,SALVADOR BRAU (PRE-VOCACIONAL),127,127,98,77.17%
CAGUAS,CIDRA,CAYEY,23218,ELEMENTAL MIGUEL MELENDEZ MUNOZ,345,330,162,49.09%
CAGUAS,CIDRA,CAYEY,23531,SUPERIOR MIGUEL MELENDEZ MUNOZ,690,663,445,67.12%
CAGUAS,CIDRA,CAYEY,23887,CENTRO DE ADIEST. VOC. GABRIEL BIBILONI,173,115,106,92.17%
CAGUAS,CIDRA,CAYEY,25627,DR. RAMON E. BETANCES,463,463,331,71.49%
CAGUAS,CIDRA,CAYEY,27383,VIRGINIA VAZQUEZ MENDOZA,295,286,198,69.23%
CAGUAS,CIDRA,CAYEY,28084,SALVADOR BRAU ELEMENTAL,411,402,252,62.69%
CAGUAS,CIDRA,CIDRA,21410,S. U. PEDRO DIAZ FONSECA,278,273,213,78.02%
CAGUAS,CIDRA,CIDRA,21493,CLEMENCIA MELENDEZ,471,461,349,75.7%
CAGUAS,CIDRA,CIDRA,21501,CIPRIAN CASTRODAD,93,82,49,59.76%
CAGUAS,CIDRA,CIDRA,21535,CERTENEJAS I,147,141,100,70.92%
CAGUAS,CIDRA,CIDRA,21543,S. U. CERTENEJAS II,391,391,242,61.89%
CAGUAS,CIDRA,CIDRA,21550,JESUS T. PINERO,409,409,295,72.13%
CAGUAS,CIDRA,CIDRA,21576,EDUCACION BILINGUE LUIS MUÑOZ IGLESIAS,288,282,105,37.23%
CAGUAS,CIDRA,CIDRA,21626,SANTA CLARA (INTERMEDIA),154,147,121,82.31%
CAGUAS,CIDRA,CIDRA,21642,S. U. PEDRO M. DOMINICCI,407,401,274,68.33%
CAGUAS,CIDRA,CIDRA,21659,S. U. JUAN D. STUBBE,402,381,294,77.17%
CAGUAS,CIDRA,CIDRA,26013,ANA J. CANDELAS,617,600,429,71.5%
CAGUAS,CIDRA,CIDRA,27557,SUPERIOR VOCACIONAL,696,690,458,66.38%
CAGUAS,CIDRA,CIDRA,28365,NUEVA ELEMENTAL BO SANTA CLARA,434,419,283,67.54%
CAGUAS,CIDRA,CIDRA,28548,ELEMENTAL URBANA K-6,497,466,337,72.32%
CAGUAS,CIDRA,CIDRA,28555,NUEVA ELEMENTAL BO.CEIBA,241,231,183,79.22%
CAGUAS,GUAYAMA,ARROYO,24653,ENRIQUE HUYKE (ESPECIALIZADA BILINGUE),284,269,194,72.12%
CAGUAS,GUAYAMA,ARROYO,24661,JOSE M. MASSARI,231,221,184,83.26%
CAGUAS,GUAYAMA,ARROYO,24679,INTERMEDIA JOSE DE CHOUDENS,339,339,251,74.04%
CAGUAS,GUAYAMA,ARROYO,24695,CAYETANO SANCHEZ,151,141,124,87.94%
CAGUAS,GUAYAMA,ARROYO,24737,BEATRIZ RODRIGUEZ,177,164,133,81.1%
CAGUAS,GUAYAMA,ARROYO,24745,EDMUNDO DEL VALLE,101,91,83,91.21%
CAGUAS,GUAYAMA,ARROYO,24752,INTERMEDIA JOSE HORACIO CORA,355,355,282,79.44%
CAGUAS,GUAYAMA,ARROYO,26153,DOLORES GONZALEZ,205,190,127,66.84%
CAGUAS,GUAYAMA,ARROYO,27714,ADALBERTO SANCHEZ (ELEM. BO. ANCONES),370,362,284,78.45%
CAGUAS,GUAYAMA,ARROYO,36053,NATIVIDAD RODRIGUEZ,563,537,398,74.12%
CAGUAS,GUAYAMA,GUAYAMA,24760,VICENTE PALES ANES,152,145,131,90.34%
CAGUAS,GUAYAMA,GUAYAMA,24778,WASHINGTON II,324,305,270,88.52%
CAGUAS,GUAYAMA,GUAYAMA,24786,GENARO CAUTIÑO (ESPECIALIZADA),362,362,207,57.18%
CAGUAS,GUAYAMA,GUAYAMA,24802,LUIS A. RIVERA,288,287,234,81.53%
CAGUAS,GUAYAMA,GUAYAMA,24810,RAFAEL LOPEZ LANDRON,473,454,360,79.3%
CAGUAS,GUAYAMA,GUAYAMA,24851,CARLOS MARTINEZ BENITEZ,58,58,47,81.03%
CAGUAS,GUAYAMA,GUAYAMA,24885,BARTOLO CAUSSADE GONZALEZ,143,136,112,82.35%
CAGUAS,GUAYAMA,GUAYAMA,24901,AMALIA MARIN,163,157,138,87.9%
CAGUAS,GUAYAMA,GUAYAMA,24927,RAFAEL ANTONIO DELGADO MATEO (OLIMPO - K-6),202,190,142,74.74%
CAGUAS,GUAYAMA,GUAYAMA,24950,OSCAR HERNANDEZ GUEVARRA,306,295,211,71.53%
CAGUAS,GUAYAMA,GUAYAMA,24968,MARCELA GARCIA CORA,133,122,102,83.61%
CAGUAS,GUAYAMA,GUAYAMA,24976,LUIS PALES MATOS,160,149,146,97.99%
CAGUAS,GUAYAMA,GUAYAMA,24992,JOSE MUÑOZ VAZQUEZ,281,273,255,93.41%
CAGUAS,GUAYAMA,GUAYAMA,25007,S. U. JUAN ALEMANY SILVA,267,262,221,84.35%
CAGUAS,GUAYAMA,GUAYAMA,25312,SIMON MADERA (ESPECIALIZADA BILINGUE),335,327,176,53.82%
CAGUAS,GUAYAMA,GUAYAMA,26336,ADELA BRENES TEXIDOR,546,537,441,82.12%
CAGUAS,GUAYAMA,GUAYAMA,26500,WASHINGTON I,319,304,204,67.11%
CAGUAS,GUAYAMA,GUAYAMA,27318,FRANCISCO GARCIA BOYRIE,399,399,316,79.2%
CAGUAS,GUAYAMA,GUAYAMA,28563,DRA. MARIA SOCORRO LACOT,933,866,625,72.17%
CAGUAS,GUAYAMA,SALINAS,27979,ANA HERNANDEZ USERA (COQUI - ELEMENTAL),225,216,176,81.48%
CAGUAS,GUAYAMA,SALINAS,28373,SUPERIOR URBANA,372,352,277,78.69%
CAGUAS,GUAYAMA,SALINAS,52753,GUILLERMO GODREAU MANATOU,182,155,113,72.9%
CAGUAS,GUAYAMA,SALINAS,52761,LAS MAREAS,51,50,42,84%
CAGUAS,GUAYAMA,SALINAS,52779,LUIS MUNOZ RIVERA (ANEXO ESTELLA),154,154,125,81.17%
CAGUAS,GUAYAMA,SALINAS,52795,PARCELAS COCO,310,299,247,82.61%
CAGUAS,GUAYAMA,SALINAS,52803,PARCELAS VAZQUEZ,208,200,170,85%
CAGUAS,GUAYAMA,SALINAS,52811,LAS OCHENTAS,83,74,54,72.97%
CAGUAS,GUAYAMA,SALINAS,52829,FRANCISCO M. QUINONES,131,126,108,85.71%
CAGUAS,GUAYAMA,SALINAS,52837,GUILERMO GONZALEZ  (PLAYITA),134,129,96,74.42%
CAGUAS,GUAYAMA,SALINAS,52852,VICTORIA SANTIAGO COLON(QUEBRADA,156,147,129,87.76%
CAGUAS,GUAYAMA,SALINAS,52860,ROMAN BALDORIOTY DE CASTRO,157,155,119,76.77%
CAGUAS,GUAYAMA,SALINAS,52886,COQUI INTERMEDIA,166,165,141,85.45%
CAGUAS,GUAYAMA,SALINAS,52894,JOSE PADIN,201,190,141,74.21%
CAGUAS,GUAYAMA,SALINAS,52902,PEDRO SOTO RIVERA,162,147,119,80.95%
CAGUAS,GUAYAMA,SALINAS,52928,WOODROW WILSON,174,166,114,68.67%
CAGUAS,GUAYAMA,SALINAS,56820,STELLA MARQUEZ,444,437,344,78.72%
CAGUAS,GUAYAMA,SALINAS,57281,EUGENIO GUERRA CRUZ (ESPECIALIZADA DEPORTES),297,297,144,48.48%
CAGUAS,GUAYAMA,SALINAS,57835,INTERMEDIA URBANA SALINAS,325,325,261,80.31%
CAGUAS,GUAYAMA,SALINAS,58123,SABANA LLANA INTERMEDIA,348,348,281,80.75%
CAGUAS,GURABO,CAGUAS I,20578,ABELARDO DIAZ MORALES,563,529,287,54.25%
CAGUAS,GURABO,CAGUAS I,20594,NICOLAS AGUAYO ALDEA,359,359,306,85.24%
CAGUAS,GURABO,CAGUAS I,20602,AMALIA H. MANGUAL,111,106,88,83.02%
CAGUAS,GURABO,CAGUAS I,20610,ANDRES GONZALEZ,131,125,112,89.6%
CAGUAS,GURABO,CAGUAS I,20651,MARIA MONTAÑEZ GOMEZ,152,145,119,82.07%
CAGUAS,GURABO,CAGUAS I,20669,PEDRO MILLAN RIVERA,405,399,238,59.65%
CAGUAS,GURABO,CAGUAS I,20685,BENITA GONZALEZ,213,207,161,77.78%
CAGUAS,GURABO,CAGUAS I,20735,DIEGO VAZQUEZ,186,178,147,82.58%
CAGUAS,GURABO,CAGUAS I,20784,JESUS T. PINERO,199,191,175,91.62%
CAGUAS,GURABO,CAGUAS I,20933,MIGUEL F. CHIQUES,215,204,169,82.84%
CAGUAS,GURABO,CAGUAS I,20982,REPUBLICA DE COSTA RICA,678,661,464,70.2%
CAGUAS,GURABO,CAGUAS I,21006,FRANCISCO VALDES,216,207,183,88.41%
